seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27264,dust,guarded,extended-model,false,false,19.61815448927456,17.100000000000108,true,14.550000000000072,0
27264,dust,no-speed-cap,nominal-model,false,false,51.843830129947264,8.399999999999984,true,3.649999999999995,0
27264,dust,no-speed-cap,extended-model,true,true,-0.2917619485440923,10.500000000000014,false,9.149999999999995,8.780321641827967
27264,dust,no-brake-bound,nominal-model,false,false,8.152799323521606,18.950000000000134,true,16.5000000000001,0
27264,dust,no-brake-bound,extended-model,false,false,7.918154560828896,19.050000000000136,true,16.5000000000001,0
27265,dust,baseline,nominal-model,false,false,8.387798279781578,14.650000000000073,true,10.000000000000007,0
27265,dust,baseline,extended-model,false,false,10.18391044314933,14.350000000000069,true,10.000000000000007,0
27265,dust,guarded,nominal-model,false,false,17.617189272010705,23.150000000000194,true,20.80000000000016,0
27265,dust,guarded,extended-model,false,false,18.040112140241888,23.050000000000193,true,20.85000000000016,0
27265,dust,no-speed-cap,nominal-model,false,false,45.58841703996194,11.500000000000028,true,6.8999999999999835,0
27265,dust,no-speed-cap,extended-model,false,false,16.183921207625076,13.850000000000062,true,9.5,0
27265,dust,no-brake-bound,nominal-model,false,false,8.017189272087705,24.750000000000217,true,22.400000000000183,0
27265,dust,no-brake-bound,extended-model,false,false,8.740112140300596,24.600000000000215,true,22.400000000000183,0
27266,dust,baseline,nominal-model,false,false,8.082955249956058,10.350000000000012,true,5.649999999999988,0
27266,dust,baseline,extended-model,false,true,2.9187846823160157,10.750000000000018,true,6.149999999999986,0
27266,dust,guarded,nominal-model,false,false,18.095052756032658,14.250000000000068,true,11.900000000000034,0
27266,dust,guarded,extended-model,false,false,18.471636016638058,14.200000000000067,true,11.900000000000034,0
27266,dust,no-speed-cap,nominal-model,false,false,48.337079919482676,6.999999999999983,true,2.3,0
27266,dust,no-speed-cap,extended-model,false,true,2.9187846823160157,10.750000000000018,true,6.149999999999986,0
27266,dust,no-brake-bound,nominal-model,false,false,8.195059398330784,15.900000000000091,true,13.550000000000058,0
27266,dust,no-brake-bound,extended-model,false,false,8.271642084766938,15.900000000000091,true,13.600000000000058,0
